,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
26516,9.56,9.99,99.99,2442365.298,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.26,9.99,8.54,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26517,9.24,9.99,99.99,2442407.297,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.78,9.99,8.28,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26518,9.39,9.99,99.99,2442620.522,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.09,9.99,8.44,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26519,9.42,9.99,99.99,2442642.425,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.15,9.99,8.46,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26520,9.13,9.99,99.99,2442646.418,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.67,9.99,8.22,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26521,9.51,9.99,99.99,2442675.479,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.18,9.99,8.48,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26522,9.57,9.99,99.99,2442676.449,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.29,9.99,8.53,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26523,9.35,9.99,99.99,2442685.512,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.09,9.99,8.41,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26524,9.37,9.99,99.99,2442715.42,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.02,9.99,8.43,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26525,9.54,9.99,99.99,2442720.336,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.27,9.99,8.54,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26526,9.03,9.99,99.99,2442738.327,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.59,9.99,8.17,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26527,9.05,9.99,99.99,2442939.5,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.56,9.99,8.22,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26528,9.05,9.99,99.99,2443075.353,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.61,9.99,8.23,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26529,9.04,9.99,99.99,2443337.501,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.67,9.99,8.23,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26530,9.64,9.99,99.99,2443340.522,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.42,9.99,8.58,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26531,9.47,9.99,99.99,2443390.341,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.2,9.99,8.49,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26532,9.23,9.99,99.99,2443423.518,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.85,9.99,8.34,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26533,9.17,9.99,99.99,2443425.267,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.8,9.99,8.27,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26534,9.59,9.99,99.99,2443438.245,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.32,9.99,8.56,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26535,9.17,0.039,99.99,2443631.8506,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.727,0.042,8.267,0.027,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
26536,9.463,0.079,99.99,2443654.8554,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.105,0.086,8.488,0.073,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
26537,9.413,0.031,99.99,2443670.8173,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.056,0.034,8.435,0.019,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
26538,9.437,0.022,99.99,2443681.7365,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.074,0.029,8.428,0.02,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
26539,9.445,0.022,99.99,2443681.8532,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.084,0.029,8.452,0.02,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
26540,9.623,0.036,99.99,2443694.7087,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.315,0.038,8.636,0.03,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
26541,9.402,0.03,99.99,2443771.6502,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.026,0.033,8.459,0.02,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
26542,9.454,0.019,99.99,2443910.5464,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.052,0.026,8.38,0.012,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
26543,8.994,9.99,99.99,2444142.8543,9.99,7.195,9.99,99.99,9.99,9.99,99.99,7.684,9.99,99.99,9.99,8.193,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26544,8.992,9.99,99.99,2444910.6153,9.99,7.187,9.99,99.99,9.99,9.99,99.99,7.696,9.99,99.99,9.99,8.2,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26545,9.013,9.99,99.99,2444910.6843,9.99,7.199,9.99,99.99,9.99,9.99,99.99,7.709,9.99,99.99,9.99,8.21,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26546,9.009,9.99,99.99,2444910.72,9.99,7.198,9.99,99.99,9.99,9.99,99.99,7.701,9.99,99.99,9.99,8.203,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26547,9.028,9.99,99.99,2444104.9713,9.99,7.187,9.99,99.99,9.99,9.99,99.99,7.704,9.99,99.99,9.99,8.211,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26548,9.081,9.99,99.99,2444099.9643,9.99,7.196,9.99,99.99,9.99,9.99,99.99,7.72,9.99,99.99,9.99,8.241,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26549,9.125,9.99,99.99,2444987.6402,9.99,7.222,9.99,99.99,9.99,9.99,99.99,7.745,9.99,99.99,9.99,8.284,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26550,9.175,9.99,99.99,2444911.5832,9.99,7.229,9.99,99.99,9.99,9.99,99.99,7.766,9.99,99.99,9.99,8.312,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26551,9.199,9.99,99.99,2445265.5769,9.99,7.241,9.99,99.99,9.99,9.99,99.99,7.785,9.99,99.99,9.99,8.321,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26552,9.208,9.99,99.99,2444911.7574,9.99,7.263,9.99,99.99,9.99,9.99,99.99,7.778,9.99,99.99,9.99,8.336,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26553,9.208,9.99,99.99,2444105.9354,9.99,7.25,9.99,99.99,9.99,9.99,99.99,7.773,9.99,99.99,9.99,8.32,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26554,9.232,9.99,99.99,2444911.822,9.99,7.267,9.99,99.99,9.99,9.99,99.99,7.79,9.99,99.99,9.99,8.351,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26555,9.322,9.99,99.99,2444100.9718,9.99,7.28,9.99,99.99,9.99,9.99,99.99,7.824,9.99,99.99,9.99,8.395,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26556,9.424,9.99,99.99,2445010.5777,9.99,7.327,9.99,99.99,9.99,9.99,99.99,7.885,9.99,99.99,9.99,8.454,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26557,9.416,9.99,99.99,2444912.6184,9.99,7.346,9.99,99.99,9.99,9.99,99.99,7.889,9.99,99.99,9.99,8.468,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26558,9.447,9.99,99.99,2444912.6829,9.99,7.338,9.99,99.99,9.99,9.99,99.99,7.888,9.99,99.99,9.99,8.479,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26559,9.47,9.99,99.99,2444912.7794,9.99,7.348,9.99,99.99,9.99,9.99,99.99,7.905,9.99,99.99,9.99,8.485,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26560,9.486,9.99,99.99,2444106.9656,9.99,7.368,9.99,99.99,9.99,9.99,99.99,7.919,9.99,99.99,9.99,8.489,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26561,9.485,9.99,99.99,2444460.9726,9.99,7.362,9.99,99.99,9.99,9.99,99.99,7.92,9.99,99.99,9.99,8.505,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26562,9.514,9.99,99.99,2444139.8291,9.99,7.369,9.99,99.99,9.99,9.99,99.99,7.926,9.99,99.99,9.99,8.524,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26563,9.514,9.99,99.99,2444945.7221,9.99,7.386,9.99,99.99,9.99,9.99,99.99,7.959,9.99,99.99,9.99,8.531,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26564,9.509,9.99,99.99,2444564.6053,9.99,7.376,9.99,99.99,9.99,9.99,99.99,7.926,9.99,99.99,9.99,8.521,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26565,9.526,9.99,99.99,2444493.9046,9.99,7.378,9.99,99.99,9.99,9.99,99.99,7.95,9.99,99.99,9.99,8.546,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26566,9.567,9.99,99.99,2444940.6434,9.99,7.434,9.99,99.99,9.99,9.99,99.99,7.977,9.99,99.99,9.99,8.584,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26567,9.563,9.99,99.99,2444820.9071,9.99,7.405,9.99,99.99,9.99,9.99,99.99,7.969,9.99,99.99,9.99,8.565,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26568,9.578,9.99,99.99,2445011.5667,9.99,7.419,9.99,99.99,9.99,9.99,99.99,7.998,9.99,99.99,9.99,8.603,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26569,9.581,9.99,99.99,2444913.6704,9.99,7.42,9.99,99.99,9.99,9.99,99.99,7.999,9.99,99.99,9.99,8.587,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26570,9.586,9.99,99.99,2445267.8176,9.99,7.407,9.99,99.99,9.99,9.99,99.99,7.993,9.99,99.99,9.99,8.584,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26571,9.598,9.99,99.99,2444461.9808,9.99,7.44,9.99,99.99,9.99,9.99,99.99,8.005,9.99,99.99,9.99,8.598,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26572,9.595,9.99,99.99,2445474.8752,9.99,7.406,9.99,99.99,9.99,9.99,99.99,7.992,9.99,99.99,9.99,8.581,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26573,9.589,9.99,99.99,2444886.8231,9.99,7.442,9.99,99.99,9.99,9.99,99.99,7.993,9.99,99.99,9.99,8.587,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26574,9.597,9.99,99.99,2444908.6163,9.99,7.424,9.99,99.99,9.99,9.99,99.99,8.003,9.99,99.99,9.99,8.597,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26575,9.622,9.99,99.99,2444554.6979,9.99,7.473,9.99,99.99,9.99,9.99,99.99,8.024,9.99,99.99,9.99,8.62,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26576,9.593,9.99,99.99,2444483.9168,9.99,7.433,9.99,99.99,9.99,9.99,99.99,8.005,9.99,99.99,9.99,8.601,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26577,9.6,9.99,99.99,2444908.6574,9.99,7.44,9.99,99.99,9.99,9.99,99.99,8.005,9.99,99.99,9.99,8.596,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26578,9.583,9.99,99.99,2444908.7966,9.99,7.457,9.99,99.99,9.99,9.99,99.99,8.022,9.99,99.99,9.99,8.603,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26579,9.57,9.99,99.99,2444821.8712,9.99,7.432,9.99,99.99,9.99,9.99,99.99,8.004,9.99,99.99,9.99,8.587,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26580,9.474,9.99,99.99,2444985.5934,9.99,7.41,9.99,99.99,9.99,9.99,99.99,7.961,9.99,99.99,9.99,8.534,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26581,9.478,9.99,99.99,2444462.918,9.99,7.394,9.99,99.99,9.99,9.99,99.99,7.959,9.99,99.99,9.99,8.534,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26582,9.424,9.99,99.99,2444555.6079,9.99,7.38,9.99,99.99,9.99,9.99,99.99,7.931,9.99,99.99,9.99,8.491,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26583,9.329,9.99,99.99,2444909.6313,9.99,7.353,9.99,99.99,9.99,9.99,99.99,7.89,9.99,99.99,9.99,8.435,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26584,9.354,9.99,99.99,2444223.5773,9.99,7.345,9.99,99.99,9.99,9.99,99.99,7.889,9.99,99.99,9.99,8.451,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26585,9.287,9.99,99.99,2444909.6901,9.99,7.326,9.99,99.99,9.99,9.99,99.99,7.864,9.99,99.99,9.99,8.406,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26586,9.237,9.99,99.99,2444909.7537,9.99,7.334,9.99,99.99,9.99,9.99,99.99,7.843,9.99,99.99,9.99,8.385,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26587,9.211,9.99,99.99,2444909.8048,9.99,7.284,9.99,99.99,9.99,9.99,99.99,7.8,9.99,99.99,9.99,8.348,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26588,9.171,9.99,99.99,2444822.777,9.99,7.277,9.99,99.99,9.99,9.99,99.99,7.801,9.99,99.99,9.99,8.335,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26589,9.133,9.99,99.99,2444490.7289,9.99,7.266,9.99,99.99,9.99,9.99,99.99,7.768,9.99,99.99,9.99,8.296,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26590,9.128,9.99,99.99,2444822.8789,9.99,7.251,9.99,99.99,9.99,9.99,99.99,7.775,9.99,99.99,9.99,8.294,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26591,9.087,9.99,99.99,2444822.925,9.99,7.223,9.99,99.99,9.99,9.99,99.99,7.753,9.99,99.99,9.99,8.276,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26592,9.047,9.99,99.99,2444490.8774,9.99,7.216,9.99,99.99,9.99,9.99,99.99,7.74,9.99,99.99,9.99,8.243,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26593,9.038,9.99,99.99,2444098.9723,9.99,7.211,9.99,99.99,9.99,9.99,99.99,7.721,9.99,99.99,9.99,8.223,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26594,8.98,9.99,99.99,2444463.9835,9.99,7.167,9.99,99.99,9.99,9.99,99.99,7.684,9.99,99.99,9.99,8.18,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26595,99.99,9.99,6.122,2448429.973,9.99,99.89,9.99,6.528,9.99,9.99,6.001,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1997PASP..109..645B
26596,99.99,9.99,6.167,2448430.945,9.99,99.89,9.99,6.586,9.99,9.99,6.056,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1997PASP..109..645B
26597,99.99,9.99,6.092,2448433.906,9.99,99.89,9.99,6.455,9.99,9.99,6.004,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1997PASP..109..645B
26598,99.99,9.99,6.095,2448433.961,9.99,99.89,9.99,6.459,9.99,9.99,5.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1997PASP..109..645B
26599,99.99,9.99,6.131,2448434.984,9.99,99.89,9.99,6.55,9.99,9.99,6.0,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1997PASP..109..645B
26600,99.99,9.99,6.174,2448437.953,9.99,99.89,9.99,6.549,9.99,9.99,6.054,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1997PASP..109..645B
26601,99.99,9.99,6.119,2448438.91,9.99,99.89,9.99,6.456,9.99,9.99,5.987,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1997PASP..109..645B
26602,99.99,9.99,6.089,2448804.984,9.99,99.89,9.99,6.489,9.99,9.99,5.967,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1997PASP..109..645B
26603,99.99,9.99,6.12,2448805.973,9.99,99.89,9.99,6.54,9.99,9.99,5.998,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1997PASP..109..645B
26604,99.99,9.99,6.188,2448807.949,9.99,99.89,9.99,6.569,9.99,9.99,6.075,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1997PASP..109..645B
26605,99.99,9.99,6.123,2448808.941,9.99,99.89,9.99,6.469,9.99,9.99,6.016,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1997PASP..109..645B
26606,99.99,9.99,6.109,2448864.84,9.99,99.89,9.99,6.488,9.99,9.99,5.998,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1997PASP..109..645B
26607,99.99,9.99,6.148,2448865.813,9.99,99.89,9.99,6.553,9.99,9.99,6.022,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1997PASP..109..645B
26608,99.99,9.99,6.087,2448870.762,9.99,99.89,9.99,6.483,9.99,9.99,5.991,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1997PASP..109..645B
26609,99.99,9.99,6.16,2448871.848,9.99,99.89,9.99,6.588,9.99,9.99,6.037,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1997PASP..109..645B
26610,99.99,9.99,6.206,2448872.953,9.99,99.89,9.99,6.606,9.99,9.99,6.083,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1997PASP..109..645B
26611,99.99,9.99,6.174,2448873.688,9.99,99.89,9.99,6.524,9.99,9.99,6.071,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1997PASP..109..645B
26612,99.99,9.99,6.146,2448873.984,9.99,99.89,9.99,6.487,9.99,9.99,6.04,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1997PASP..109..645B
26613,99.99,9.99,6.141,2449170.996,9.99,99.89,9.99,6.574,9.99,9.99,6.034,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1997PASP..109..645B
