,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
35494,12.931,9.99,99.99,2447167.7337,9.99,10.168,9.99,99.99,9.99,9.99,99.99,10.92,9.99,99.99,9.99,11.633,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35495,11.808,9.99,99.99,2447168.8106,9.99,9.728,9.99,99.99,9.99,9.99,99.99,10.339,9.99,99.99,9.99,10.867,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35496,12.505,9.99,99.99,2447169.7042,9.99,9.959,9.99,99.99,9.99,9.99,99.99,10.671,9.99,99.99,9.99,11.335,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35497,12.927,9.99,99.99,2447170.7153,9.99,10.174,9.99,99.99,9.99,9.99,99.99,10.921,9.99,99.99,9.99,11.632,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35498,11.798,9.99,99.99,2447171.8257,9.99,9.727,9.99,99.99,9.99,9.99,99.99,10.326,9.99,99.99,9.99,10.87,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35499,12.52,9.99,99.99,2449092.6623,9.99,10.031,9.99,99.99,9.99,9.99,99.99,10.707,9.99,99.99,9.99,11.409,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35500,12.844,9.99,99.99,2449099.6348,9.99,10.187,9.99,99.99,9.99,9.99,99.99,10.919,9.99,99.99,9.99,11.671,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35501,12.804,9.99,99.99,2449247.0044,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.585,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35502,12.619,9.99,99.99,2449248.0072,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.488,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35503,12.763,9.99,99.99,2449280.0439,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.537,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35504,11.962,9.99,99.99,2449311.946,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.023,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35505,12.653,9.99,99.99,2449312.9208,9.99,10.046,9.99,99.99,9.99,9.99,99.99,10.784,9.99,99.99,9.99,11.469,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35506,12.735,9.99,99.99,2449389.6347,9.99,10.189,9.99,99.99,9.99,9.99,99.99,10.899,9.99,99.99,9.99,11.553,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35507,12.568,9.99,99.99,2449814.6478,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.453,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35508,12.9,9.99,99.99,2451619.2827,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.663,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
35509,12.976,9.99,99.99,2451619.365,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.681,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
35510,99.99,9.99,99.99,2451622.2606,9.99,10.177,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.655,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
35511,99.99,9.99,99.99,2451623.2752,9.99,9.773,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.934,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
35512,99.99,9.99,99.99,2451624.2694,9.99,9.987,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.38,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
35513,99.99,9.99,99.99,2451625.2531,9.99,10.168,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.63,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
35514,99.99,9.99,99.99,2451626.2679,9.99,9.795,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.96,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
35515,99.99,9.99,99.99,2451635.2607,9.99,9.834,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.035,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
35516,99.99,9.99,99.99,2451637.2472,9.99,10.158,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.614,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
35517,99.99,9.99,99.99,2451648.2444,9.99,9.966,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.287,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
35518,99.99,9.99,99.99,2451649.2327,9.99,10.181,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.615,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
35519,99.99,9.99,99.99,2451652.2259,9.99,10.166,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.607,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
35520,99.99,9.99,99.99,2451653.2219,9.99,10.022,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.3,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
35521,99.99,9.99,99.99,2451654.2174,9.99,9.972,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.314,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
35522,99.99,9.99,99.99,2451656.2151,9.99,10.054,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.368,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
35523,99.99,9.99,99.99,2451657.2176,9.99,9.954,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.272,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
35524,99.99,9.99,99.99,2451667.2118,9.99,10.162,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.629,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
35525,99.99,9.99,99.99,2451668.2034,9.99,10.108,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.468,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
35526,99.99,9.99,99.99,2451669.2064,9.99,9.949,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.256,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
35527,99.99,9.99,99.99,2451670.202,9.99,10.141,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.595,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
35528,99.99,9.99,99.99,2451671.2005,9.99,10.143,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.499,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
35529,99.99,9.99,99.99,2451943.1496,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
35530,12.934,9.99,99.99,2451944.9584,9.99,10.239,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.671,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
35531,12.6,9.99,99.99,2451946.9688,9.99,10.017,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.434,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
35532,13.001,9.99,99.99,2451947.956,9.99,10.267,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.731,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
35533,11.83,9.99,99.99,2451948.9373,9.99,9.783,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.924,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
35534,12.688,9.99,99.99,2451950.0984,9.99,10.098,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.49,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
35535,12.587,9.99,99.99,2451952.9644,9.99,10.051,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.441,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
35536,12.949,9.99,99.99,2451953.9461,9.99,10.244,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.696,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
35537,12.931,9.99,99.99,2451956.9513,9.99,10.211,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.68,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
35538,11.815,9.99,99.99,2451957.9484,9.99,9.774,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.909,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
35539,12.565,9.99,99.99,2451958.9511,9.99,10.028,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.405,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
35540,12.591,9.99,99.99,2451961.9995,9.99,10.01,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.403,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
35541,12.651,9.99,99.99,2451962.0754,9.99,10.047,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.449,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
35542,12.92,9.99,99.99,2451962.948,9.99,10.232,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.668,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
35543,12.943,9.99,99.99,2451962.9858,9.99,10.275,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.721,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
35544,11.902,9.99,99.99,2451963.9919,9.99,9.841,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.984,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
35545,12.543,9.99,99.99,2451964.9452,9.99,10.005,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.397,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
35546,12.938,9.99,99.99,2451968.9646,9.99,10.246,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.689,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
35547,11.844,9.99,99.99,2451969.9264,9.99,9.783,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.934,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
35548,12.503,9.99,99.99,2451970.9198,9.99,10.007,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.385,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
35549,12.914,9.99,99.99,2451971.9192,9.99,10.238,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.685,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
35550,11.865,9.99,99.99,2451972.9161,9.99,9.797,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.936,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
35551,99.99,9.99,99.99,2452621.4381,9.99,9.869,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.123,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
35552,99.99,9.99,99.99,2452622.4811,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
35553,99.99,9.99,99.99,2452624.4023,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
35554,99.99,9.99,99.99,2452626.3569,9.99,10.245,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.652,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
35555,99.99,9.99,99.99,2452627.3828,9.99,9.859,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.093,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
35556,99.99,9.99,99.99,2452628.3575,9.99,10.055,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.467,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
35557,99.99,9.99,99.99,2452628.4006,9.99,10.075,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.509,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
35558,99.99,9.99,99.99,2452631.474,9.99,10.086,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.5,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
